idiom,num_contexts,contexts
Ganarse algo a pulso,0,
Ganarse el cielo,0,
Ganarse las lentejas,0,
Golpear en la línea de flotación,0,
Guardar cama,0,
Guardar las apariencias,0,
Ha salido rana,0,
Haber mucha tela que cortar,0,
Hablar a toro pasado,0,
Hablar con la pared,0,
Hablar en plata,0,
Hablar en román paladino,0,
Hablar por los codos,0,
Hablar por los descosidos,0,
Hace un frío que pela,0,
Hacer algo a pelo,0,
Hacer algo a sangre fría,0,
Hacer algo al pie de la letra,0,
Hacer algo codo con codo,0,
Hacer algo por huevos,0,
Hacer borrón y cuenta nueva,0,
Hacer buenas migas,0,
Hacer cábalas,0,
Hacer campana,0,
Hacer de la necesidad virtud,0,
Hacer de tripas corazón,0,
Hacer el agosto,0,
Hacer el cabra,0,
Hacer el indio,0,
Hacer el primo,0,
Hacer el trabajo sucio,0,
Hacer encaje de bolillos,0,
Hacer la calle,0,
Hacer la cuenta de la vieja,0,
Hacer la ola,0,
Hacer la pelota,0,
Hacer la rosca a alguien,0,
Hacer la visita del médico,0,
Hacer la vista gorda,0,
Hacer las américas,0,
Hacer las cuentas del Gran Capitán,0,
Hacer leña del árbol caído,0,
Hacer mutis por el foro,0,
Hacer novillos,0,
Hacer oídos sordos,0,
Hacer papilla a alguien,0,
Hacer pucheros,0,
Hacer rodar cabezas,0,
Hacer temblar los cimientos,0,
Hacer trampas al solitario,0,
Hacer un brindis al sol,0,
Hacer un corte de mangas,0,
Hacer un pacto con el diablo,0,
Hacer un tiempo de perros,0,
Hacer un trabajo de chinos,0,
Hacer una montaña de un grano de arena,0,
Hacerle la cabra a alguien,0,
Hacerle una faena a alguien,0,
Hacerse el sueco,0,
Hacerse la boca agua,0,
Hacerse la estrecha,0,
Hacerse la picha un lío,0,
Hasta el rabo todo es toro,0,
Hilar fino,0,
Hincar los codos,0,
Hinchar las narices,0,
Huir hacia adelante,0,
Hundirse en la miseria,0,
Importar un pimiento,0,
Inclinar la balanza,0,
Inflar las pelotas,0,
Ir a hacer gárgaras,0,
Ir a hacer puñetas,0,
Ir a la deriva,0,
Ir a medio gas,0,
Ir a piñón fijo,0,
Ir a por lana y volver trasquilado,0,
Ir a por todas,0,
Ir a saco,0,
Ir a toda leche,0,
Ir a toda pastilla,0,
Ir a trompicones,0,
Ir a tumba abierta,0,
Ir al grano,0,
Ir cagando leches,0,
Ir como la seda,0,
Ir como pollo sin cabeza,0,
Ir como un guante,0,
Ir como una bala,0,
Ir con la cabeza bien alta,0,
Ir contra reloj,0,
Ir contra viento y marea,0,
Ir de culo,0,
Ir de flor en flor,0,
Ir de frente,0,
Ir de paquete,0,
Ir en piloto automático,0,
Ir hecho un pincel,0,
Ir por la vía rápida,0,
Ir trompa,0,
Ir viento en popa,0,
Irse a dormir calentito,0,
Irse al garete,0,
Irse al infierno,0,
Irse al quinto pino,0,
Irse con el rabo entre las piernas,0,
Irse de la lengua,0,
Irse de la pinza,0,
Irse de las manos,0,
Irse de picos pardos,0,
Irse de rositas,0,
Irse el santo al cielo,0,
Irse por las patas abajo,0,
Irse por los cerros de Úbeda,0,
Joder la marrana,0,
Jugar al gato y al ratón,0,
Jugar con fuego,0,
Jugar en otra liga,0,
Jugar la última carta,0,
Jugar limpio,0,
Juntarse el hambre con las ganas de comer,0,
La cosa está que arde,0,
La fe mueve montañas,0,
La mar de bien,0,
La ocasión la pintan calva,0,
Labrarse un porvenir,0,
Lamerse las heridas,0,
Las armas las carga el diablo,0,
Las paredes oyen,0,
Lavar la ropa sucia en casa,0,
Lavarle la cara a algo,0,
Lavarse las manos,0,
Leer la cartilla,0,
Leerle el pensamiento a alguien,0,
Levantar ampollas,0,
Levantar la liebre,0,
Levantarse con el pie izquierdo,0,
Levar anclas,0,
Liarla parda,0,
Liarse la manta a la cabeza,0,
Limar asperezas,0,
Limpiar el nombre de alguien,0,
Llamar las cosas por su nombre,0,
Llegar a buen puerto,0,
Llegar con las manos vacías,0,
Llegar hasta el fondo de la cuestión,0,
Llegar por los pelos,0,
Llegar y besar el santo,0,
Llevar al huerto,0,
Llevar el agua a su molino,0,
Llevar en volandas,0,
Llevar una buena trompa,0,
Llevar una vida de perros,0,
Llevarlo claro,0,
Llevarse como el perro y el gato,0,
Llevarse el gato al agua,0,
Llevarse un chasco,0,
Llorar como un descosido,0,
Llorar como una magdalena,0,
Llorar lágrimas de cocodrilo,0,
Llover hostias,0,
Llueve a cántaros,0,
Lo cortés no quita lo valiente,0,
Lo dicen las malas lenguas,0,
Lo que no está en los escritos,0,
Los árboles no te dejan ver el bosque,0,
Mala hierba nunca muere,0,
Manda huevos,0,
Mandar a alguien a freir espárragos,0,
Mandar a alguien a paseo,0,
Mandar a alguien al diablo,0,
Mandar a la porra,0,
Mantener a raya,0,
Mantenerse firme,0,
